date,province_thai,province_eng,region_thai,region_eng,variable,value
2019-01-01,สุโขทัย,Sukhothai ,ภาคเหนือ,north,ratio_tourist_stay,73.09
2019-01-01,น่าน,Nan ,ภาคเหนือ,north,ratio_tourist_stay,80.74
2019-01-01,กาฬสินธุ์,Kalasin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,55.76
2019-01-01,ขอนแก่น,Khon Kaen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,67.31
2019-01-01,ชัยภูมิ,Chaiyaphum ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,65.59
2019-01-01,นครพนม,Nakhon Phanom ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,65.42
2019-01-01,นครราชสีมา,Nakhon Ratchasima ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,77.67
2019-01-01,บุรีรัมย์,Buriram ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,71.26
2019-01-01,มหาสารคาม,Maha Sarakham ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,61.85
2019-01-01,มุกดาหาร,Mukdahan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,69.66
2019-01-01,ร้อยเอ็ด,Roi Et ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,60.27
2019-01-01,เลย,Loei ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,78.17
2019-01-01,ศรีสะเกษ,Sisaket ,ภาคใต้,south,ratio_tourist_stay,68.63
2019-01-01,สุรินทร์,Surin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,61.37
2019-01-01,หนองคาย,Nong Khai ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,70.92
2019-01-01,บึงกาฬ,Bueng Kan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,72.95
2019-01-01,อุดรธานี,Udon Thani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,76.79
2019-01-01,อุบลราชธานี,Ubon Ratchathani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,77.37
2019-01-01,สกลนคร,Sakon Nakhon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,64.69
2019-01-01,ยโสธร,Yasothon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,63.63
2019-01-01,อำนาจเจริญ,Amnat Charoen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,65.15
2019-01-01,หนองบัวลำภู,Nong Bua Lamphu ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,65.05
2020-01-01,กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,ratio_tourist_stay,89.36
2020-01-01,ลพบุรี,Lopburi ,ภาคกลาง,central,ratio_tourist_stay,51.53
2020-01-01,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,ratio_tourist_stay,66.07
2020-01-01,สระบุรี,Saraburi ,ภาคกลาง,central,ratio_tourist_stay,59.71
2020-01-01,ชัยนาท,Chainat ,ภาคกลาง,central,ratio_tourist_stay,73.47
2020-01-01,นครปฐม,Nakhon Pathom ,ภาคกลาง,central,ratio_tourist_stay,64.63
2020-01-01,สิงห์บุรี,Sing Buri ,ภาคกลาง,central,ratio_tourist_stay,57.93
2020-01-01,อ่างทอง,Ang Thong ,ภาคกลาง,central,ratio_tourist_stay,63.97
2020-01-01,นนทบุรี,Nonthaburi ,ภาคกลาง,central,ratio_tourist_stay,71.1
2020-01-01,ปทุมธานี,Pathum Thani ,ภาคกลาง,central,ratio_tourist_stay,58.63
2020-01-01,สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,ratio_tourist_stay,69.55
2020-01-01,สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,ratio_tourist_stay,58.37
2020-01-01,ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,ratio_tourist_stay,55.42
2020-01-01,ราชบุรี,Ratchaburi ,ภาคกลาง,central,ratio_tourist_stay,72.78
2020-01-01,กาญจนบุรี,Kanchanaburi ,ภาคกลาง,central,ratio_tourist_stay,81.92
2020-01-01,สมุทรสงคราม,Samut Songkhram ,ภาคกลาง,central,ratio_tourist_stay,69.52
2020-01-01,สุพรรณบุรี,Suphan Buri ,ภาคกลาง,central,ratio_tourist_stay,85.81
2020-01-01,เพชรบุรี,Phetchaburi ,ภาคกลาง,central,ratio_tourist_stay,72.6
2020-01-01,ประจวบคีรีขันธ์,Prachuap Khiri Khan ,ภาคกลาง,central,ratio_tourist_stay,70.35
2020-01-01,ชลบุรี,Chonburi ,ภาคตะวันออก,east,ratio_tourist_stay,83.21
2020-01-01,จันทบุรี,Chanthaburi ,ภาคตะวันออก,east,ratio_tourist_stay,76.36
2020-01-01,ตราด,Trat ,ภาคตะวันออก,east,ratio_tourist_stay,72.26
2020-01-01,นครนายก,Nakhon Nayok ,ภาคตะวันออก,east,ratio_tourist_stay,59.86
2020-01-01,ปราจีนบุรี,Prachinburi ,ภาคตะวันออก,east,ratio_tourist_stay,67.12
2020-01-01,ระยอง,Rayong ,ภาคตะวันออก,east,ratio_tourist_stay,65.73
2020-01-01,สระแก้ว,Sa Kaeo ,ภาคตะวันออก,east,ratio_tourist_stay,49.25
2020-01-01,ภูเก็ต,Phuket ,ภาคใต้,south,ratio_tourist_stay,87.71
2020-01-01,พัทลุง,Phatthalung ,ภาคใต้,south,ratio_tourist_stay,67.53
2020-01-01,ตรัง,Trang ,ภาคใต้,south,ratio_tourist_stay,67.6
2020-01-01,ระนอง,Ranong ,ภาคใต้,south,ratio_tourist_stay,52.8
2020-01-01,ชุมพร,Chumphon ,ภาคใต้,south,ratio_tourist_stay,58.98
2020-01-01,ปัตตานี,Pattani ,ภาคใต้,south,ratio_tourist_stay,45.72
2020-01-01,ยะลา,Yala ,ภาคใต้,south,ratio_tourist_stay,48.36
2020-01-01,นครศรีธรรมราช,Nakhon Si Thammarat ,ภาคใต้,south,ratio_tourist_stay,56.04
2020-01-01,นราธิวาส,Narathiwat ,ภาคใต้,south,ratio_tourist_stay,60.39
2020-01-01,กระบี่,Krabi ,ภาคใต้,south,ratio_tourist_stay,79.51
2020-01-01,สงขลา,Songkhla ,ภาคใต้,south,ratio_tourist_stay,82.05
2020-01-01,พังงา,Phang Nga ,ภาคใต้,south,ratio_tourist_stay,85.24
2020-01-01,สุราษฎร์ธานี,Surat Thani ,ภาคใต้,south,ratio_tourist_stay,69.1
2020-01-01,สตูล,Satun ,ภาคใต้,south,ratio_tourist_stay,72.77
2020-01-01,กำแพงเพชร,Kamphaeng Phet ,ภาคเหนือ,north,ratio_tourist_stay,53.72
2020-01-01,เชียงราย,Chiang Rai ,ภาคเหนือ,north,ratio_tourist_stay,78.3
2020-01-01,เชียงใหม่,Chiang Mai ,ภาคเหนือ,north,ratio_tourist_stay,85.32
2020-01-01,พิจิตร,Phichit ,ภาคเหนือ,north,ratio_tourist_stay,54.08
