date,province_thai,province_eng,region_thai,region_eng,variable,value
2022-02-01,ยะลา,Yala ,ภาคใต้,south,ratio_tourist_stay,46.54
2022-02-01,นครศรีธรรมราช,Nakhon Si Thammarat ,ภาคใต้,south,ratio_tourist_stay,21.76
2022-02-01,นราธิวาส,Narathiwat ,ภาคใต้,south,ratio_tourist_stay,21.57
2022-02-01,กระบี่,Krabi ,ภาคใต้,south,ratio_tourist_stay,15.28
2022-02-01,สงขลา,Songkhla ,ภาคใต้,south,ratio_tourist_stay,14.25
2022-02-01,พังงา,Phang Nga ,ภาคใต้,south,ratio_tourist_stay,28.3
2022-02-01,สุราษฎร์ธานี,Surat Thani ,ภาคใต้,south,ratio_tourist_stay,28.38
2022-02-01,สตูล,Satun ,ภาคใต้,south,ratio_tourist_stay,50.35
2022-02-01,กำแพงเพชร,Kamphaeng Phet ,ภาคเหนือ,north,ratio_tourist_stay,38.54
2022-02-01,เชียงราย,Chiang Rai ,ภาคเหนือ,north,ratio_tourist_stay,79.43
2022-02-01,เชียงใหม่,Chiang Mai ,ภาคเหนือ,north,ratio_tourist_stay,60.89
2022-02-01,พิจิตร,Phichit ,ภาคเหนือ,north,ratio_tourist_stay,35.14
2022-02-01,นครสวรรค์,Nakhon Sawan ,ภาคเหนือ,north,ratio_tourist_stay,43.62
2022-02-01,ตาก,Tak ,ภาคเหนือ,north,ratio_tourist_stay,44.58
2022-02-01,พิษณุโลก,Phitsanulok ,ภาคเหนือ,north,ratio_tourist_stay,45.6
2022-02-01,พะเยา,Phayao ,ภาคเหนือ,north,ratio_tourist_stay,66.72
2022-02-01,เพชรบูรณ์,Phetchabun ,ภาคเหนือ,north,ratio_tourist_stay,51.68
2022-02-01,แพร่,Phrae ,ภาคเหนือ,north,ratio_tourist_stay,60.14
2022-02-01,ลำปาง,Lampang ,ภาคเหนือ,north,ratio_tourist_stay,45.81
2022-02-01,ลำพูน,Lamphun ,ภาคเหนือ,north,ratio_tourist_stay,42.57
2022-02-01,แม่ฮ่องสอน,Mae Hong Son ,ภาคเหนือ,north,ratio_tourist_stay,42.53
2022-02-01,อุตรดิตถ์,Uttaradit ,ภาคเหนือ,north,ratio_tourist_stay,40.34
2022-02-01,อุทัยธานี,Uthai Thani ,ภาคเหนือ,north,ratio_tourist_stay,36.74
2022-02-01,สุโขทัย,Sukhothai ,ภาคเหนือ,north,ratio_tourist_stay,26.82
2022-02-01,น่าน,Nan ,ภาคเหนือ,north,ratio_tourist_stay,73.65
2022-02-01,กาฬสินธุ์,Kalasin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,36.88
2022-02-01,ขอนแก่น,Khon Kaen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,39.33
2022-02-01,ชัยภูมิ,Chaiyaphum ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,27.24
2022-02-01,นครพนม,Nakhon Phanom ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,56.29
2022-02-01,นครราชสีมา,Nakhon Ratchasima ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,47.16
2022-02-01,บุรีรัมย์,Buriram ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,50.27
2022-02-01,มหาสารคาม,Maha Sarakham ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,20.3
2022-02-01,มุกดาหาร,Mukdahan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,41.09
2022-02-01,ร้อยเอ็ด,Roi Et ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,25.76
2022-02-01,เลย,Loei ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,35.12
2022-02-01,ศรีสะเกษ,Sisaket ,ภาคใต้,south,ratio_tourist_stay,45.05
2022-02-01,สุรินทร์,Surin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,27.39
2022-02-01,หนองคาย,Nong Khai ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,42.36
2022-02-01,บึงกาฬ,Bueng Kan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,51.27
2022-02-01,อุดรธานี,Udon Thani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,48.14
2022-02-01,อุบลราชธานี,Ubon Ratchathani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,32.97
2022-02-01,สกลนคร,Sakon Nakhon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,33.96
2022-02-01,ยโสธร,Yasothon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,35.38
2022-02-01,อำนาจเจริญ,Amnat Charoen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,28.44
2022-02-01,หนองบัวลำภู,Nong Bua Lamphu ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,19.44
2023-02-01,กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,ratio_tourist_stay,75.97
2023-02-01,กาญจนบุรี,Kanchanaburi ,ภาคกลาง,central,ratio_tourist_stay,65.23
2023-02-01,นครปฐม,Nakhon Pathom ,ภาคกลาง,central,ratio_tourist_stay,43.87
2023-02-01,ประจวบคีรีขันธ์,Prachuap Khiri Khan ,ภาคกลาง,central,ratio_tourist_stay,75.26
2023-02-01,เพชรบุรี,Phetchaburi ,ภาคกลาง,central,ratio_tourist_stay,67.09
2023-02-01,ราชบุรี,Ratchaburi ,ภาคกลาง,central,ratio_tourist_stay,56.35
2023-02-01,สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,ratio_tourist_stay,48.23
2023-02-01,สมุทรสงคราม,Samut Songkhram ,ภาคกลาง,central,ratio_tourist_stay,58.82
2023-02-01,สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,ratio_tourist_stay,41.12
2023-02-01,ชัยนาท,Chainat ,ภาคกลาง,central,ratio_tourist_stay,45.03
2023-02-01,นนทบุรี,Nonthaburi ,ภาคกลาง,central,ratio_tourist_stay,53.71
2023-02-01,ปทุมธานี,Pathum Thani ,ภาคกลาง,central,ratio_tourist_stay,45.45
2023-02-01,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,ratio_tourist_stay,58.78
2023-02-01,ลพบุรี,Lopburi ,ภาคกลาง,central,ratio_tourist_stay,53.83
2023-02-01,สระบุรี,Saraburi ,ภาคกลาง,central,ratio_tourist_stay,54.69
2023-02-01,สิงห์บุรี,Sing Buri ,ภาคกลาง,central,ratio_tourist_stay,42.12
2023-02-01,สุพรรณบุรี,Suphan Buri ,ภาคกลาง,central,ratio_tourist_stay,62.85
2023-02-01,อ่างทอง,Ang Thong ,ภาคกลาง,central,ratio_tourist_stay,48.44
2023-02-01,จันทบุรี,Chanthaburi ,ภาคตะวันออก,east,ratio_tourist_stay,64.67
2023-02-01,ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,ratio_tourist_stay,39.87
2023-02-01,ชลบุรี,Chonburi ,ภาคตะวันออก,east,ratio_tourist_stay,74.74
2023-02-01,ตราด,Trat ,ภาคตะวันออก,east,ratio_tourist_stay,54.42
2023-02-01,นครนายก,Nakhon Nayok ,ภาคตะวันออก,east,ratio_tourist_stay,59.97
2023-02-01,ปราจีนบุรี,Prachinburi ,ภาคตะวันออก,east,ratio_tourist_stay,44.74
2023-02-01,ระยอง,Rayong ,ภาคตะวันออก,east,ratio_tourist_stay,66.12
2023-02-01,สระแก้ว,Sa Kaeo ,ภาคตะวันออก,east,ratio_tourist_stay,46.08
2023-02-01,กระบี่,Krabi ,ภาคใต้,south,ratio_tourist_stay,75.52
2023-02-01,ชุมพร,Chumphon ,ภาคใต้,south,ratio_tourist_stay,60.89
2023-02-01,นครศรีธรรมราช,Nakhon Si Thammarat ,ภาคใต้,south,ratio_tourist_stay,65.32
2023-02-01,พังงา,Phang Nga ,ภาคใต้,south,ratio_tourist_stay,65.23
2023-02-01,ภูเก็ต,Phuket ,ภาคใต้,south,ratio_tourist_stay,85.19
2023-02-01,ระนอง,Ranong ,ภาคใต้,south,ratio_tourist_stay,57.37
2023-02-01,สุราษฎร์ธานี,Surat Thani ,ภาคใต้,south,ratio_tourist_stay,74.84
2023-02-01,ตรัง,Trang ,ภาคใต้,south,ratio_tourist_stay,56.35
2023-02-01,นราธิวาส,Narathiwat ,ภาคใต้,south,ratio_tourist_stay,55.62
2023-02-01,ปัตตานี,Pattani ,ภาคใต้,south,ratio_tourist_stay,44.2
2023-02-01,พัทลุง,Phatthalung ,ภาคใต้,south,ratio_tourist_stay,60.14
2023-02-01,ยะลา,Yala ,ภาคใต้,south,ratio_tourist_stay,79.57
2023-02-01,สงขลา,Songkhla ,ภาคใต้,south,ratio_tourist_stay,63.53
2023-02-01,สตูล,Satun ,ภาคใต้,south,ratio_tourist_stay,56.3
2023-02-01,เชียงราย,Chiang Rai ,ภาคเหนือ,north,ratio_tourist_stay,75.48
2023-02-01,เชียงใหม่,Chiang Mai ,ภาคเหนือ,north,ratio_tourist_stay,78.48
2023-02-01,น่าน,Nan ,ภาคเหนือ,north,ratio_tourist_stay,93.51
2023-02-01,พะเยา,Phayao ,ภาคเหนือ,north,ratio_tourist_stay,75.63
2023-02-01,แพร่,Phrae ,ภาคเหนือ,north,ratio_tourist_stay,65.86
2023-02-01,แม่ฮ่องสอน,Mae Hong Son ,ภาคเหนือ,north,ratio_tourist_stay,58.6
2023-02-01,ลำปาง,Lampang ,ภาคเหนือ,north,ratio_tourist_stay,60.28
2023-02-01,ลำพูน,Lamphun ,ภาคเหนือ,north,ratio_tourist_stay,60.4
2023-02-01,กำแพงเพชร,Kamphaeng Phet ,ภาคเหนือ,north,ratio_tourist_stay,40.24
2023-02-01,ตาก,Tak ,ภาคเหนือ,north,ratio_tourist_stay,72.18
2023-02-01,นครสวรรค์,Nakhon Sawan ,ภาคเหนือ,north,ratio_tourist_stay,52.06
2023-02-01,พิจิตร,Phichit ,ภาคเหนือ,north,ratio_tourist_stay,51.62
2023-02-01,พิษณุโลก,Phitsanulok ,ภาคเหนือ,north,ratio_tourist_stay,50.9
2023-02-01,เพชรบูรณ์,Phetchabun ,ภาคเหนือ,north,ratio_tourist_stay,67.46
2023-02-01,สุโขทัย,Sukhothai ,ภาคเหนือ,north,ratio_tourist_stay,38.93
2023-02-01,อุตรดิตถ์,Uttaradit ,ภาคเหนือ,north,ratio_tourist_stay,42.06
2023-02-01,อุทัยธานี,Uthai Thani ,ภาคเหนือ,north,ratio_tourist_stay,50.82
2023-02-01,กาฬสินธุ์,Kalasin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,57.84
2023-02-01,ขอนแก่น,Khon Kaen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,58.02
2023-02-01,นครพนม,Nakhon Phanom ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,76.0
2023-02-01,บึงกาฬ,Bueng Kan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,50.52
2023-02-01,มหาสารคาม,Maha Sarakham ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,53.61
2023-02-01,เลย,Loei ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,60.77
2023-02-01,สกลนคร,Sakon Nakhon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,50.31
2023-02-01,หนองคาย,Nong Khai ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,65.49
2023-02-01,หนองบัวลำภู,Nong Bua Lamphu ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,33.3
2023-02-01,อุดรธานี,Udon Thani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,62.39
2023-02-01,ชัยภูมิ,Chaiyaphum ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,44.61
2023-02-01,นครราชสีมา,Nakhon Ratchasima ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,64.15
2023-02-01,บุรีรัมย์,Buriram ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,68.17
2023-02-01,มุกดาหาร,Mukdahan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,51.12
2023-02-01,ยโสธร,Yasothon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,38.39
2023-02-01,ร้อยเอ็ด,Roi Et ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,52.97
2023-02-01,ศรีสะเกษ,Sisaket ,ภาคใต้,south,ratio_tourist_stay,39.82
2023-02-01,สุรินทร์,Surin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,55.1
2023-02-01,อำนาจเจริญ,Amnat Charoen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,38.09
2023-02-01,อุบลราชธานี,Ubon Ratchathani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,45.4
2019-03-01,กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,ratio_tourist_stay,84.4
2019-03-01,ลพบุรี,Lopburi ,ภาคกลาง,central,ratio_tourist_stay,56.37
2019-03-01,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,ratio_tourist_stay,68.83
2019-03-01,สระบุรี,Saraburi ,ภาคกลาง,central,ratio_tourist_stay,64.39
2019-03-01,ชัยนาท,Chainat ,ภาคกลาง,central,ratio_tourist_stay,78.55
2019-03-01,นครปฐม,Nakhon Pathom ,ภาคกลาง,central,ratio_tourist_stay,68.92
2019-03-01,สิงห์บุรี,Sing Buri ,ภาคกลาง,central,ratio_tourist_stay,64.64
2019-03-01,อ่างทอง,Ang Thong ,ภาคกลาง,central,ratio_tourist_stay,72.38
2019-03-01,นนทบุรี,Nonthaburi ,ภาคกลาง,central,ratio_tourist_stay,67.52
2019-03-01,ปทุมธานี,Pathum Thani ,ภาคกลาง,central,ratio_tourist_stay,57.7
2019-03-01,สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,ratio_tourist_stay,67.25
2019-03-01,สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,ratio_tourist_stay,61.11
2019-03-01,ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,ratio_tourist_stay,60.15
2019-03-01,ราชบุรี,Ratchaburi ,ภาคกลาง,central,ratio_tourist_stay,57.76
2019-03-01,กาญจนบุรี,Kanchanaburi ,ภาคกลาง,central,ratio_tourist_stay,65.29
2019-03-01,สมุทรสงคราม,Samut Songkhram ,ภาคกลาง,central,ratio_tourist_stay,64.37
2019-03-01,สุพรรณบุรี,Suphan Buri ,ภาคกลาง,central,ratio_tourist_stay,84.63
2019-03-01,เพชรบุรี,Phetchaburi ,ภาคกลาง,central,ratio_tourist_stay,71.65
2019-03-01,ประจวบคีรีขันธ์,Prachuap Khiri Khan ,ภาคกลาง,central,ratio_tourist_stay,61.58
2019-03-01,ชลบุรี,Chonburi ,ภาคตะวันออก,east,ratio_tourist_stay,81.72
2019-03-01,จันทบุรี,Chanthaburi ,ภาคตะวันออก,east,ratio_tourist_stay,70.57
2019-03-01,ตราด,Trat ,ภาคตะวันออก,east,ratio_tourist_stay,78.72
2019-03-01,นครนายก,Nakhon Nayok ,ภาคตะวันออก,east,ratio_tourist_stay,62.09
2019-03-01,ปราจีนบุรี,Prachinburi ,ภาคตะวันออก,east,ratio_tourist_stay,65.0
2019-03-01,ระยอง,Rayong ,ภาคตะวันออก,east,ratio_tourist_stay,73.54
2019-03-01,สระแก้ว,Sa Kaeo ,ภาคตะวันออก,east,ratio_tourist_stay,56.51
2019-03-01,ภูเก็ต,Phuket ,ภาคใต้,south,ratio_tourist_stay,85.51
2019-03-01,พัทลุง,Phatthalung ,ภาคใต้,south,ratio_tourist_stay,73.36
2019-03-01,ตรัง,Trang ,ภาคใต้,south,ratio_tourist_stay,81.81
2019-03-01,ระนอง,Ranong ,ภาคใต้,south,ratio_tourist_stay,67.55
2019-03-01,ชุมพร,Chumphon ,ภาคใต้,south,ratio_tourist_stay,67.47
2019-03-01,ปัตตานี,Pattani ,ภาคใต้,south,ratio_tourist_stay,86.51
2019-03-01,ยะลา,Yala ,ภาคใต้,south,ratio_tourist_stay,54.73
2019-03-01,นครศรีธรรมราช,Nakhon Si Thammarat ,ภาคใต้,south,ratio_tourist_stay,58.96
2019-03-01,นราธิวาส,Narathiwat ,ภาคใต้,south,ratio_tourist_stay,77.75
2019-03-01,กระบี่,Krabi ,ภาคใต้,south,ratio_tourist_stay,80.89
2019-03-01,สงขลา,Songkhla ,ภาคใต้,south,ratio_tourist_stay,76.34
2019-03-01,พังงา,Phang Nga ,ภาคใต้,south,ratio_tourist_stay,81.14
2019-03-01,สุราษฎร์ธานี,Surat Thani ,ภาคใต้,south,ratio_tourist_stay,76.57
2019-03-01,สตูล,Satun ,ภาคใต้,south,ratio_tourist_stay,81.33
2019-03-01,กำแพงเพชร,Kamphaeng Phet ,ภาคเหนือ,north,ratio_tourist_stay,53.36
2019-03-01,เชียงราย,Chiang Rai ,ภาคเหนือ,north,ratio_tourist_stay,48.32
2019-03-01,เชียงใหม่,Chiang Mai ,ภาคเหนือ,north,ratio_tourist_stay,65.76
2019-03-01,พิจิตร,Phichit ,ภาคเหนือ,north,ratio_tourist_stay,53.85
2019-03-01,นครสวรรค์,Nakhon Sawan ,ภาคเหนือ,north,ratio_tourist_stay,55.86
2019-03-01,ตาก,Tak ,ภาคเหนือ,north,ratio_tourist_stay,66.76
2019-03-01,พิษณุโลก,Phitsanulok ,ภาคเหนือ,north,ratio_tourist_stay,59.56
2019-03-01,พะเยา,Phayao ,ภาคเหนือ,north,ratio_tourist_stay,47.39
2019-03-01,เพชรบูรณ์,Phetchabun ,ภาคเหนือ,north,ratio_tourist_stay,56.45
2019-03-01,แพร่,Phrae ,ภาคเหนือ,north,ratio_tourist_stay,54.95
2019-03-01,ลำปาง,Lampang ,ภาคเหนือ,north,ratio_tourist_stay,62.89
2019-03-01,ลำพูน,Lamphun ,ภาคเหนือ,north,ratio_tourist_stay,57.14
2019-03-01,แม่ฮ่องสอน,Mae Hong Son ,ภาคเหนือ,north,ratio_tourist_stay,45.38
2019-03-01,อุตรดิตถ์,Uttaradit ,ภาคเหนือ,north,ratio_tourist_stay,58.25
2019-03-01,อุทัยธานี,Uthai Thani ,ภาคเหนือ,north,ratio_tourist_stay,51.89
2019-03-01,สุโขทัย,Sukhothai ,ภาคเหนือ,north,ratio_tourist_stay,62.58
2019-03-01,น่าน,Nan ,ภาคเหนือ,north,ratio_tourist_stay,63.14
2019-03-01,กาฬสินธุ์,Kalasin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,55.35
2019-03-01,ขอนแก่น,Khon Kaen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,62.02
2019-03-01,ชัยภูมิ,Chaiyaphum ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,56.32
2019-03-01,นครพนม,Nakhon Phanom ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,55.19
2019-03-01,นครราชสีมา,Nakhon Ratchasima ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,65.89
2019-03-01,บุรีรัมย์,Buriram ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,66.41
2019-03-01,มหาสารคาม,Maha Sarakham ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,56.24
2019-03-01,มุกดาหาร,Mukdahan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,59.07
2019-03-01,ร้อยเอ็ด,Roi Et ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,53.91
2019-03-01,เลย,Loei ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,59.45
2019-03-01,ศรีสะเกษ,Sisaket ,ภาคใต้,south,ratio_tourist_stay,67.11
2019-03-01,สุรินทร์,Surin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,59.47
2019-03-01,หนองคาย,Nong Khai ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,63.55
2019-03-01,บึงกาฬ,Bueng Kan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,56.83
2019-03-01,อุดรธานี,Udon Thani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,76.85
2019-03-01,อุบลราชธานี,Ubon Ratchathani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,66.27
2019-03-01,สกลนคร,Sakon Nakhon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,52.84
2019-03-01,ยโสธร,Yasothon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,58.78
2019-03-01,อำนาจเจริญ,Amnat Charoen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,66.07
2019-03-01,หนองบัวลำภู,Nong Bua Lamphu ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,54.95
2020-03-01,กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,ratio_tourist_stay,18.43
2020-03-01,ลพบุรี,Lopburi ,ภาคกลาง,central,ratio_tourist_stay,19.78
2020-03-01,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,ratio_tourist_stay,17.77
2020-03-01,สระบุรี,Saraburi ,ภาคกลาง,central,ratio_tourist_stay,13.1
2020-03-01,ชัยนาท,Chainat ,ภาคกลาง,central,ratio_tourist_stay,10.92
2020-03-01,นครปฐม,Nakhon Pathom ,ภาคกลาง,central,ratio_tourist_stay,19.98
2020-03-01,สิงห์บุรี,Sing Buri ,ภาคกลาง,central,ratio_tourist_stay,16.9
2020-03-01,อ่างทอง,Ang Thong ,ภาคกลาง,central,ratio_tourist_stay,8.63
2020-03-01,นนทบุรี,Nonthaburi ,ภาคกลาง,central,ratio_tourist_stay,7.88
2020-03-01,ปทุมธานี,Pathum Thani ,ภาคกลาง,central,ratio_tourist_stay,6.81
2020-03-01,สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,ratio_tourist_stay,12.96
2020-03-01,สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,ratio_tourist_stay,11.48
2020-03-01,ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,ratio_tourist_stay,9.42
2020-03-01,ราชบุรี,Ratchaburi ,ภาคกลาง,central,ratio_tourist_stay,21.6
2020-03-01,กาญจนบุรี,Kanchanaburi ,ภาคกลาง,central,ratio_tourist_stay,17.77
2020-03-01,สมุทรสงคราม,Samut Songkhram ,ภาคกลาง,central,ratio_tourist_stay,21.56
2020-03-01,สุพรรณบุรี,Suphan Buri ,ภาคกลาง,central,ratio_tourist_stay,32.63
2020-03-01,เพชรบุรี,Phetchaburi ,ภาคกลาง,central,ratio_tourist_stay,26.05
2020-03-01,ประจวบคีรีขันธ์,Prachuap Khiri Khan ,ภาคกลาง,central,ratio_tourist_stay,22.5
2020-03-01,ชลบุรี,Chonburi ,ภาคตะวันออก,east,ratio_tourist_stay,20.45
2020-03-01,จันทบุรี,Chanthaburi ,ภาคตะวันออก,east,ratio_tourist_stay,22.01
2020-03-01,ตราด,Trat ,ภาคตะวันออก,east,ratio_tourist_stay,25.13
2020-03-01,นครนายก,Nakhon Nayok ,ภาคตะวันออก,east,ratio_tourist_stay,22.7
2020-03-01,ปราจีนบุรี,Prachinburi ,ภาคตะวันออก,east,ratio_tourist_stay,24.63
2020-03-01,ระยอง,Rayong ,ภาคตะวันออก,east,ratio_tourist_stay,24.83
2020-03-01,สระแก้ว,Sa Kaeo ,ภาคตะวันออก,east,ratio_tourist_stay,20.84
2020-03-01,ภูเก็ต,Phuket ,ภาคใต้,south,ratio_tourist_stay,26.53
2020-03-01,พัทลุง,Phatthalung ,ภาคใต้,south,ratio_tourist_stay,19.88
2020-03-01,ตรัง,Trang ,ภาคใต้,south,ratio_tourist_stay,22.34
2020-03-01,ระนอง,Ranong ,ภาคใต้,south,ratio_tourist_stay,16.21
2020-03-01,ชุมพร,Chumphon ,ภาคใต้,south,ratio_tourist_stay,21.53
2020-03-01,ปัตตานี,Pattani ,ภาคใต้,south,ratio_tourist_stay,24.94
2020-03-01,ยะลา,Yala ,ภาคใต้,south,ratio_tourist_stay,24.07
2020-03-01,นครศรีธรรมราช,Nakhon Si Thammarat ,ภาคใต้,south,ratio_tourist_stay,20.17
2020-03-01,นราธิวาส,Narathiwat ,ภาคใต้,south,ratio_tourist_stay,19.88
2020-03-01,กระบี่,Krabi ,ภาคใต้,south,ratio_tourist_stay,20.1
2020-03-01,สงขลา,Songkhla ,ภาคใต้,south,ratio_tourist_stay,19.67
2020-03-01,พังงา,Phang Nga ,ภาคใต้,south,ratio_tourist_stay,22.31
2020-03-01,สุราษฎร์ธานี,Surat Thani ,ภาคใต้,south,ratio_tourist_stay,23.76
2020-03-01,สตูล,Satun ,ภาคใต้,south,ratio_tourist_stay,20.93
2020-03-01,กำแพงเพชร,Kamphaeng Phet ,ภาคเหนือ,north,ratio_tourist_stay,14.83
2020-03-01,เชียงราย,Chiang Rai ,ภาคเหนือ,north,ratio_tourist_stay,22.58
2020-03-01,เชียงใหม่,Chiang Mai ,ภาคเหนือ,north,ratio_tourist_stay,24.32
2020-03-01,พิจิตร,Phichit ,ภาคเหนือ,north,ratio_tourist_stay,17.54
2020-03-01,นครสวรรค์,Nakhon Sawan ,ภาคเหนือ,north,ratio_tourist_stay,20.76
2020-03-01,ตาก,Tak ,ภาคเหนือ,north,ratio_tourist_stay,32.47
2020-03-01,พิษณุโลก,Phitsanulok ,ภาคเหนือ,north,ratio_tourist_stay,34.12
2020-03-01,พะเยา,Phayao ,ภาคเหนือ,north,ratio_tourist_stay,22.83
2020-03-01,เพชรบูรณ์,Phetchabun ,ภาคเหนือ,north,ratio_tourist_stay,30.58
2020-03-01,แพร่,Phrae ,ภาคเหนือ,north,ratio_tourist_stay,17.89
2020-03-01,ลำปาง,Lampang ,ภาคเหนือ,north,ratio_tourist_stay,28.53
2020-03-01,ลำพูน,Lamphun ,ภาคเหนือ,north,ratio_tourist_stay,23.6
2020-03-01,แม่ฮ่องสอน,Mae Hong Son ,ภาคเหนือ,north,ratio_tourist_stay,10.85
2020-03-01,อุตรดิตถ์,Uttaradit ,ภาคเหนือ,north,ratio_tourist_stay,11.83
2020-03-01,อุทัยธานี,Uthai Thani ,ภาคเหนือ,north,ratio_tourist_stay,16.49
2020-03-01,สุโขทัย,Sukhothai ,ภาคเหนือ,north,ratio_tourist_stay,14.85
2020-03-01,น่าน,Nan ,ภาคเหนือ,north,ratio_tourist_stay,23.02
2020-03-01,กาฬสินธุ์,Kalasin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,11.07
2020-03-01,ขอนแก่น,Khon Kaen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,17.12
2020-03-01,ชัยภูมิ,Chaiyaphum ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,12.06
