name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365
"♡Chic Studio, Easy Walk to Pier & BTS Taksin♡",Bee,Sathon,13.71192,100.51535,Entire home/apt,866,2,7,320
One Bedroom Suite- WIFI- SATHORN,Marvin,Sathon,13.71602,100.52663,Private room,2696,1,3,356
STUDIO RM2 - WIFI- SATHORN,Marvin,Sathon,13.71798,100.52841,Private room,1736,1,3,356
Quiet Double  Bed Apartment,Primrose,Thawi Watthana,13.79274,100.33377,Private room,1800,2,3,242
Quiet Double Bed Apartment,Primrose,Thawi Watthana,13.79315,100.33356,Private room,1800,2,3,256
Suvarnabhumi free transfer,Luckana,Lat Krabang,13.72141,100.72946,Entire home/apt,1558,1,2,365
Luxury&Comfy wthWifi walk-distance to Subwy-Malls,Mitch & Mam,Chatu Chak,13.80926,100.56892,Entire home/apt,900,358,1,365
"Apr. for rent full fur 1 bedroom, monthly",Veesa,Bang Na,13.67805,100.62451,Private room,400,180,1,364
Long-stay special rate spacious entire floor Siam,Pariya,Parthum Wan,13.74814,100.52016,Entire home/apt,2900,1125,3,0
One Bed Room at Sukumvit 50 Bangkok,Nichapat,Khlong Toei,13.71513,100.5683,Private room,2226,1,1,364
"City View, relaxed theme & delicious food around",Nicky,Bang Kho laen,13.69947,100.52726,Entire home/apt,890,2,6,59
Ideo Blucove Sukhumvit Bangkok,Sander,Bang Na,13.67998,100.61074,Entire home/apt,1500,29,1,365
2-BR condo near BTS on Sukhumvit Rd,Anshera,Khlong Toei,13.7281,100.57318,Entire home/apt,1732,30,1,167
"NewlyRenovated! 3Br,SingleHouse, Park/BTS/Airport.",Piya,Pra Wet,13.70004,100.6787,Entire home/apt,3394,5,8,180
"IdeoMix, Sukhumvit RD, close to BTS",Piya,Bang Na,13.67991,100.61055,Entire home/apt,922,14,1,219
Mix Dorm  Decor do Hostel,Somsak,Khlong San,13.72214,100.50752,Shared room,350,1,10,87
Oasis in the heart of Bangkok,Siriwipa,Ratchathewi,13.74902,100.55652,Entire home/apt,866,90,1,142
5 mins by car from Chong Nonsi BTS Station,Mimi,Sathon,13.71498,100.53312,Private room,1543,1,4,149
Inn Saladaeng - Superior hotel room,Inn Saladaeng & The Sathon Vimanda,Bang Rak,13.72825,100.53774,Entire home/apt,1589,1,2,176
"Best nr Chatujak, MRT, BTS free wifi&fNetflix",Nokiko,Chatu Chak,13.81694,100.56451,Entire home/apt,1271,1,1,129
❂Citycenter✔Subway station✔Private Bathroom4Aircon,Evan,Sathon,13.72062,100.54707,Entire home/apt,800,1,37,361
Nice River View Condominium 30 sq.m,Chanvit,Rat Burana,13.68426,100.49841,Private room,1558,1,1,365
Monthly rent 2Beds/2Baths quiet APT at BTS,Pornpan,Khlong San,13.71905,100.50414,Entire home/apt,1747,30,1,330
Sukhumvit apartment near Nana BTS,Hollis,Khlong Toei,13.74052,100.55237,Entire home/apt,797,1,1,230
A room w/ the view :-) in the city,Vichit,Vadhana,13.71012,100.60281,Entire home/apt,6926,1,1,364
Spacious 1Bed apartment,Tisa,Huai Khwang,13.75224,100.58979,Entire home/apt,1169,15,1,180
Near Bangkok more space than urban!,Sugarcane,Phra Nakhon,13.75135,100.49447,Shared room,5195,1,1,365
✺✺99 feet in the sky✺✺,Evan,Sathon,13.72062,100.54707,Entire home/apt,829,1,37,334
Cozy Studio Apt near Skytrain.(72/74),Tor,Sathon,13.71782,100.51622,Private room,950,1,7,301
"Asoke: tasteful, modern 1BR condo",Peter,Vadhana,13.73816,100.56495,Entire home/apt,1400,28,2,120
"2 bed 2 bath, BTS, Supermarkets, Monthly",Sibyl,Vadhana,13.7104,100.60171,Entire home/apt,2355,30,1,356
"Private, relaxed with amenities",Nicky,Bang Kho laen,13.69949,100.52725,Entire home/apt,980,2,6,75
S1 hostel (Dorm) Sathorn Bangkok,S1,Sathon,13.72157,100.54509,Shared room,330,1,3,358
3 minutes walk to Phrom Phong BTS,Amporn,Vadhana,13.73675,100.57191,Entire home/apt,3740,7,1,44
1 BDM CONDO SAPHAN KWAI/ARI walk to JJ/BTS/MRT,Chris And Lek,Phaya Thai,13.79128,100.54935,Entire home/apt,1000,5,1,145
เฮ้าส์โหมด House Mode,Prapussorn,Thon buri,13.72646255738608,100.49129336748284,Private room,800,1,1,365
❂100% Private&Central Light EnSuite,Evan,Sathon,13.72062,100.54707,Entire home/apt,800,1,37,358
Spacious Studio kitchen/wifi,Wimonpak,Yan na wa,13.69673,100.53202,Entire home/apt,1143,200,41,365
2. Bangkok bright Apartment 201,Wimonpak,Bang Kho laen,13.69935,100.52723,Entire home/apt,700,365,41,365
1.Bangkok great value Studio WIFI,Wimonpak,Bang Kho laen,13.69977,100.52652,Entire home/apt,831,365,41,270
BKK City Fab Luxx Studio free wifi @1194,Wimonpak,Bang Kho laen,13.698,100.52886,Entire home/apt,790,1,41,365
5. Bangkok Bright Apartment -WIFI,Wimonpak,Bang Kho laen,13.70068,100.5228,Entire home/apt,720,365,41,365
"6. Bangkok nice, cosy Apartment 201",Wimonpak,Bang Kho laen,13.69925,100.52624,Entire home/apt,890,1,41,346
7. Bangkok big bright Apartment 402,Wimonpak,Bang Kho laen,13.70086,100.52276,Entire home/apt,1211,365,41,365
