name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365
Green Point Silom condominium,วิภาณี,Bang Rak,13.72714,100.53032,Private room,1960,60,1,365
Happy Condo Ladprao101,BaiTong,Bang Kapi,13.77992,100.63053,Private room,3107,1,1,365
The embassy room,Baker,Khlong Toei,13.72214,100.5805,Entire home/apt,3300,21,9,65
Cozy Single Room,"Jam,",Phra Nakhon,13.75618,100.49934,Private room,896,1,5,349
Cozy clean condo@Sukhumvit Road Close to Skytrain,Demo,Vadhana,13.71129,100.60257,Entire home/apt,1009,2,7,165
ฺฺDouble room - BB Hotel @ Ratchavipa,Ratchavipa,Chatu Chak,13.83154,100.56033,Private room,850,1,3,179
"A3. PENTHOUSE, JJ market-Aree-Siam, PEACEFUL, WiFi",Tony,Phaya Thai,13.78865,100.55435,Entire home/apt,1394,1,34,94
"C3.PENTHOUSE, JJ market-Aree-Siam, PEACEFUL, WiFi",Tony,Phaya Thai,13.78927,100.55313,Entire home/apt,1394,1,34,115
"A2. PENTHOUSE, JJ market-Aree-Siam, PEACEFUL, WiFi",Tony,Phaya Thai,13.79052,100.55486,Entire home/apt,1523,1,34,124
Modern 1 BR APT+extra balcony-Sathon-Lumpini MRT,Bee,Sathon,13.71957,100.5486,Entire home/apt,2650,1,29,309
RITTHA HOUSE 20 Minute Grand Palace,Varittha,Bangkok Noi,13.76887,100.47911,Private room,500,1,1,179
"C2 .PENTHOUSE, JJ market-Aree-Siam, PEACEFUL, WiFi",Tony,Phaya Thai,13.78975,100.55347,Entire home/apt,1523,1,34,139
近拉玛九地铁站小两居公寓Condo near MRT Phra ram9 of Bangkok,Lily,Huai Khwang,13.75916,100.56991,Entire home/apt,1500,5,3,0
Where•Stories•Begin,BED STATION Hostel,Ratchathewi,13.75309,100.53026,Shared room,406,1,3,358
เลิศอุบลสกายไลน์คอนโดมิเนียม,Apinya,Chatu Chak,13.80503,100.56792,Private room,4000,4,1,365
"2BR Condo 18th Floor,Thonglor BTS SukhumvitBangkok",Mon,Khlong Toei,13.72459,100.57608,Entire home/apt,2500,180,2,358
100sqm 2BR for 1-6ppl near Siam. 5mins to MRT,Notee,Sathon,13.72239,100.55192,Entire home/apt,4166,21,3,56
Chic place in heart of Bangkok,Terachai,Vadhana,13.73913,100.56027,Private room,650,1,7,153
"4pp walk 3minute BTS,Asok/Sukhmvt,Terminal21",Patty,Vadhana,13.73539,100.56321,Entire home/apt,1500,5,39,67
Sleep in the heart of Bangkok,Terachai,Vadhana,13.73907,100.56029,Private room,1017,2,7,172
2BedSuite@SLEEPIngBeautY,Sleeping,Bangkok Noi,13.75282,100.46965,Private room,850,7,4,67
Warm & cozy Capsule beds for 4 ppl /w rooftop,The BOB Hostel,Vadhana,13.73099,100.5854,Shared room,1200,1,5,364
D Living The Parkland Lakeside Srinakarin,Sipim,Bang Na,13.65436,100.64442,Private room,830,7,1,319
"Minutes to Asok Sky Train, MRT. WIFI, Gym & Pool!",Choon Fei,Khlong Toei,13.73322,100.5624,Entire home/apt,3463,2,1,350
2BR2BathFree car park TukTuk On nut BTS&24Hshop,Yumi,Vadhana,13.72257,100.6001,Entire home/apt,1687,28,1,329
Chic house in the heart of Bangkok,Terachai,Vadhana,13.73907,100.5603,Private room,1100,1,7,152
Cozy Double Room with Bathroom,BabyBlue,Bang Rak,13.72411,100.53466,Private room,980,1,5,0
Lumpini Place Sathon-Rama 4,Phachanita,Phra Nakhon,13.75729,100.50274,Private room,1012,3,1,357
Sleep well in the heart of Bangkok,Terachai,Vadhana,13.73909,100.56029,Private room,650,1,7,149
Peace in the heart of Bangkok,Terachai,Vadhana,13.73911,100.56039,Private room,876,1,7,142
6m to BTS Sukhumvit line with roof top pool+WIFI,Prawitra,Bang Na,13.68068,100.61099,Entire home/apt,820,3,1,106
Most convenience -very close to BTS,มาลี,Vadhana,13.70618,100.60186,Entire home/apt,1800,30,2,241
22Sqm Condominium Elio Sukhumvit 64,Laszlo,Phra Khanong,13.68927,100.6067,Entire home/apt,700,2,3,85
Luxury Suite-King Studio2,Monalisa,Vadhana,13.74225,100.55931,Private room,1685,14,5,354
Ba hao Residence x MAITRI CHIT ROOM,Bua,Pom Prap Sattru Phai,13.7403,100.51407,Private room,3714,1,2,253
"2-Bedroom, BTS Phrom Phong, Comfy & Quiet Condo",Yann,Vadhana,13.73527,100.60076,Entire home/apt,2886,3,2,163
"1BR: BTS Phromphong, Emporium, Emquartier",Feb,Khlong Toei,13.72942,100.56787,Entire home/apt,1403,28,6,302
Inn Stations Hostel,Inn Stations,Parthum Wan,13.73757,100.51808,Shared room,360,1,1,365
Cozy Tatami Room with Bathroom,BabyBlue,Bang Rak,13.72416,100.53468,Private room,980,1,5,0
Premium 2BRS@BTS S10+30mWIFI+Netflix+Big mall,Kinifrog,Thon buri,13.71566,100.47816,Entire home/apt,1520,28,19,230
Cozy Bangkok Suite with Bathroom and Kitchen,BabyBlue,Bang Rak,13.72418,100.53468,Private room,1400,1,5,0
4ppAsok/Sukhumvit BTS100mTerminal21,Patty,Khlong Toei,13.73586,100.56194,Entire home/apt,1400,1,39,77
"The Link, Near Skytrain (BTS Onnut)",Matthew,Khlong Toei,13.70669,100.59854,Private room,950,30,1,343
TheRoom Sukhumvit 62,Noohna,Phra Khanong,13.698,100.60702,Private room,2000,1,1,335
"Prime location, own floor , 5 min to MBK, Siam",Pan,Ratchathewi,13.75526,100.53871,Private room,500,1,4,327
Family Room Condo3 NR Shopping@Platinum + FreeWifi,David,Ratchathewi,13.75497,100.53922,Private room,1571,1,6,359
Train Adventurers,Baanfangthon,Thon buri,13.72082,100.48158,Private room,799,1,4,165
Ngamwongwan Fully Furnished with a Rooftop Pool,Armaj,Lak Si,13.85657,100.54707,Entire home/apt,1000,7,2,331
青旅,天涛,Phra Nakhon,13.76372,100.50223,Entire home/apt,3300,1,2,365
Budget3beds near DMKที่พักใกล้ศูนย์ราชการแจ้งวัฒนะ,Chatnakorn,Lak Si,13.87255573272705,100.57288360595705,Private room,950,1,4,365
Budget beds near DMKที่พักใกล้ศูนย์ราชการแจ้งวัฒนะ,Chatnakorn,Lak Si,13.87255573272705,100.57288360595705,Private room,950,1,4,355
"3 BRS,Calm and Greenery,near subway",Vichak,Huai Khwang,13.76921,100.58103,Private room,6215,1,25,252
Family room near Hua Lamphong train station,Bua Noppamas,Bang Rak,13.73422,100.52163,Private room,1000,2,4,344
ROOM [Twin bed room + private bathroom],Pong,Chatu Chak,13.84148,100.55946,Private room,1150,1,4,179
2 beds 2 baths Entire luxury place close to BTS.,Pavitra,Vadhana,13.73376,100.57301,Entire home/apt,3286,360,2,365
Budget bed near DMK ที่พักใกล้ศูนย์ราชการแจ้งวัฒนะ,Chatnakorn,Lak Si,13.87255573272705,100.57288360595705,Private room,800,1,4,347
ROOFTOP POOL GYM SUKHUMVIT BTS RIVER VIEW BKK,Namm,Khlong Toei,13.71034,100.5939,Entire home/apt,1883,1,1,83
8Beds Mixed Dormitory@Baan 89 Hostel,Baan 89,Phra Nakhon,13.7544,100.50423,Hotel room,318,1,5,271
Quiet & Natural Thai Poolside Suite Onnut,Jenjira,Suanluang,13.73154,100.62038,Entire home/apt,1732,2,3,32
曼谷新唐人街地铁汇狂站出口5分钟  火车夜市 代购按摩街 大型B-C超市 建兴酒家 华人必住民宿12,Taosiam,Huai Khwang,13.77895,100.57565,Entire home/apt,750,1,34,102
RHYTHM Sathon21 Condo,Bean,Sathon,13.71732,100.51657,Private room,1200,30,2,365
"New Room City view, Rooftop Pools and Fitness",Bean,Sathon,13.71751,100.516,Private room,1800,30,2,365
Luxury 1BR @The LINE Phra Kanong Sukhumvit 71,VerymuchThai,Khlong Toei,13.714,100.59137,Entire home/apt,2800,7,1,245
曼谷新唐人街汇狂地铁站出口5分钟 超值华人民宿 火车夜市 建兴酒家 代购按摩一条街 自由行首选,Taosiam,Huai Khwang,13.77896,100.57695,Private room,750,1,34,102
8曼谷新唐人街汇狂地铁站出口5分钟 火车夜市 大型BC超市 建兴酒家 代购按摩一条街 华人自由行首选,Taosiam,Huai Khwang,13.78117,100.57915,Private room,900,1,34,125
"3 mins walk to BTS, Cozy, Nice View,Wifi, Pool,Gym",Amy,Thon buri,13.71116,100.47632,Entire home/apt,851,5,10,135
2 BR close to MRT Hualamphong & Chaphaya River,Aumpol,Bang Rak,13.73035,100.51455,Entire home/apt,4900,1,1,181
*Hidden Oasis Bangkok 2 | Near ICONSIAM,Guang,Khlong San,13.7247389,100.507924,Private room,841,1,2,326
Private&Cozy apartment#5 Silom 3 BTS Saladaeng,K,Bang Rak,13.72514,100.532,Hotel room,1089,1,89,335
Stylish 1 bedroom near Subway,Abby,Chatu Chak,13.80473,100.57526,Entire home/apt,790,30,1,335
LPN-Ville ramindra-laksi,Tharinee,Bang Khen,13.87235,100.60357,Private room,511,3,1,116
NaturBliss Boutique House,Chayanuch,Khan Na Yao,13.84516,100.65331,Private room,12500,1,5,365
"BKK Airport, New condo, Pool & Gym",Daniel,Pra Wet,13.7316,100.70036,Entire home/apt,869,2,1,350
Quiet yet central 1 bedroom apt on Sukumvit Soi 2,Pooja,Khlong Toei,13.74067,100.5529,Entire home/apt,1558,31,1,339
Cozy place nearby Khaosan road!(Banglumpoo place),Paijit,Phra Nakhon,13.76208,100.49606,Entire home/apt,930,1,1,0
Great view and steps from shopping,June,Chatu Chak,13.8187,100.56605,Entire home/apt,600,180,1,257
"Friendly home on Sukhumvit Rd., closed to skytrain",Kwang,Bang Na,13.68,100.61031,Private room,970,2,3,179
"Bangkok, Designer's House! Near BTS, Retro Room",Anne Araya,Phra Khanong,13.69941,100.60786,Private room,1300,1,25,47
Family room for 5/wifi/Ari station,Natakorn,Phaya Thai,13.77934,100.54243,Private room,3650,1,1,176
4Beds Female Dormitory@Baan 89 Hostel,Baan 89,Phra Nakhon,13.75451,100.50229,Hotel room,318,1,5,271
"Double bed, shared bathroom@Baan 89 Hostel",Baan 89,Phra Nakhon,13.75626,100.50232,Hotel room,670,1,5,271
Esta-Bliss Condominium B-348,Pensri,Min Buri,13.81191,100.69978,Entire home/apt,1399,30,2,0
3 mins to BTS udomsuk,Bi,Bang Na,13.67709,100.6095,Shared room,357,1,2,179
✨Spacious 1BR near Siam/ChinaTown-10min walk MRT๓,Varunee,Pom Prap Sattru Phai,13.74571,100.51498,Private room,1164,1,5,163
New room with good location in bkk,Watcharawit,Thon buri,13.71395,100.46991,Entire home/apt,1875,5,2,362
DD Place Café,Natthakrit,Don Mueang,13.92863,100.58726,Private room,600,1,2,180
1-bedroom at Belle Rama 9,Tanawat,Huai Khwang,13.76119,100.56809,Entire home/apt,1390,30,1,324
Nice room with good location in bkk,Watcharawit,Chatu Chak,13.79622,100.5573,Entire home/apt,1500,5,2,362
คอนโดศรีวราแมนชั่น 2 ใกล้ MRT ศูนย์วัฒนธรรม,3qproperties,Khan Na Yao,13.8209,100.66362,Private room,26000,180,1,365
Private unit in a quiet condominium,Alessandro,Vadhana,13.72448,100.58141,Entire home/apt,1150,5,1,113
Bourbon Street 05,Bourbon St. Boutique Hotel,Vadhana,13.72201,100.58299,Private room,1800,1,1,178
Esta-Bliss condo 278,Pensri,Min Buri,13.81365,100.70937,Entire home/apt,1199,30,2,0
SIRI RESIDENCE RAMA9,Piraya,Suanluang,13.71914,100.61389,Private room,800,1,1,180
SPACIOUS 3BR APT in the Heart of Bangkok!,Jacob,Parthum Wan,13.74547,100.55018,Entire home/apt,9539,2,1,79
New 1 Bedroom 1 min walk to BTS Onnut,Aor,Vadhana,13.70601,100.60243,Entire home/apt,964,30,2,43
"A1. SPACIOUS, JJ market-Aree-Siam, PEACEFUL, WiFi",Tony,Phaya Thai,13.7894,100.55487,Entire home/apt,1261,1,34,133
"B1. SPACIOUS, JJ market-Aree-Siam, PEACEFUL, WiFi",Tony,Phaya Thai,13.79041,100.5548,Entire home/apt,1261,1,34,146
"C1.SPACIOUS, JJ market-Aree-Siam, PEACEFUL, WiFi",Tony,Phaya Thai,13.78899,100.55512,Entire home/apt,1261,1,34,158
⚜ Cosy Design Space/1min to BTS/Great facilities ⚜,June & Pop,Chom Thong,13.71435,100.46756,Entire home/apt,1100,28,10,233
Clean n' Comfort 1Br apartment,Patharin,Bang Kapi,13.7725,100.63676,Private room,550,1,1,181
X9Hostel,Chalat,Huai Khwang,13.75376,100.5669,Private room,2800,1,2,365
*Hidden Oasis Bangkok 1 | Near ICONSIAM,Guang,Khlong San,13.7247389,100.507924,Private room,855,1,2,319
"Bangkok,Oriental Room, Designer's House,Near BTS",Anne Araya,Phra Khanong,13.69973,100.60776,Private room,1350,2,25,0
Sukhumvit Living Town 299/59,Ranya,Vadhana,13.747,100.56137,Private room,1600,30,1,365
JC3665,Born,Yan na wa,13.70054,100.54842,Private room,1250,1,1,88
留学生自住房子可短租,可亮,Din Daeng,13.76228,100.55452,Entire home/apt,2179,1,2,179
"3BRs,Calm and Greenary,near Subway",Vichak,Huai Khwang,13.76928,100.58104,Private room,6215,1,25,252
Short or Long term walk-up apartment near Airport,Suvisa,Min Buri,13.79277,100.71156,Entire home/apt,690,1,10,364
RALPH Bangkok,Ralph,Phra Nakhon,13.74602,100.49224,Hotel room,450,1,1,365
"A2#Condo near BitecBangna& bts direct to city,TM30",Maoh Maoh,Bang Na,13.66841,100.60566,Entire home/apt,1250,3,4,0
"PrivateRoom22sq.m.(A/C,TV,..)@SB",Sleeping,Bangkok Noi,13.75389,100.47191,Private room,1200,7,4,364
Condo Ease Praram 2,Gritsana,Bang Khun thain,13.6722,100.44249,Entire home/apt,650,6,2,67
Luxury 2BR near MRT&airport link,Sanoozie,Ratchathewi,13.75024,100.56305,Entire home/apt,5195,30,1,181
Spacious & Cozy Condo Near BTS/ARL & City Center,Ann,Vadhana,13.73583,100.6006,Entire home/apt,1429,2,1,157
Cozy apartment attach BTS station,Peeranut,Phasi Charoen,13.71902,100.45836,Entire home/apt,850,30,1,341
"2BedRoom(SeperatedRoom,2A/C,WiFi,.)",Sleeping,Bangkok Noi,13.75237,100.4717,Private room,1250,7,4,365
Grand Family Suites - 3 Bedrooms,Lasalle Suites,Bang Na,13.66401,100.61746,Hotel room,3643,1,1,349
Navy Place Suvarnabhumi Airport,Nalinee,Pra Wet,13.69972,100.67968,Entire home/apt,600,15,1,177
New Luxury Condo Close to BTS Thonlor 1 BR,Ben,Khlong Toei,13.72326,100.57601,Entire home/apt,1250,28,2,290
Best choice - comfort & chic - walk to RoyalPalace,Phil,Phra Nakhon,13.74844,100.49832,Private room,1034,1,8,168
Yada condominium,Pratch,Vadhana,13.7386,100.5741,Private room,2000,1,1,90
Comfort chic & budget on 4 fl -walk to RoyalPalace,Phil,Phra Nakhon,13.7482,100.49683,Private room,867,1,8,147
Origi's Space,Lynji,Khlong Sam Wa,13.8425,100.6951,Private room,2500,1,1,364
Condo+Rooftop view in Bangkok 2 min from Sky train,Eib,Bang Sue,13.8308,100.52648,Entire home/apt,900,1,1,169
"Room bathtub,150m prompongBTS,opt arize hotel,TM30",Mama,Khlong Toei,13.72844,100.56992,Private room,2286,28,2,75
Excellent condition Room & near BTS,Jiraporn,Vadhana,13.73627,100.58428,Private room,2700,1,1,89
321 Sukhumvit 66/1 near BTS udomsuk,Chatchada,Phra Khanong,13.68235,100.60501,Entire home/apt,3150,2,2,174
Downtown Siam 100m.BTS.Free pick up,Hataipat,Ratchathewi,13.74972,100.5298,Entire home/apt,1336,5,5,1
"Bangkok Designer's House! Near BTS, Chic Vintage",Anne Araya,Phra Khanong,13.6997,100.6077,Private room,1450,1,25,64
Supalai Park Phaholyothin 21,Oom,Chatu Chak,13.82367,100.56357,Entire home/apt,600,2,2,284
Loftel Station - Private Family room 6 people -BKK,Piyaporn,Bang Rak,13.73604,100.51808,Private room,1700,1,7,364
Rooftop Garden Pool and Gym next to SkyTrain.,Vk,Bang Sue,13.82983,100.52609,Private room,799,30,2,86
Nice room and city view,Arunya,Vadhana,13.72377,100.583,Private room,2700,1,1,90
Chinese Style Room with Twin Bed at Loftel 22,Saowaros,Samphanthawong,13.73333,100.51444,Private room,875,1,5,363
Low Budget Stay for Backpackers at Loftel 22,Saowaros,Samphanthawong,13.73338,100.51431,Private room,1446,1,5,360
"Well equipped, secure & connected for max 6 people",Nirintana,Bang Kapi,13.76103,100.61695,Entire home/apt,1300,5,3,326
Luxury Condominium & Near BTS Phra Khanong,Hathaiphon,Vadhana,13.73764,100.5621,Private room,2700,1,1,90
Silom 3 apartment no.6 (BTS Saladaeng station),Veena,Bang Rak,13.72682,100.53185,Entire home/apt,868,1,2,0
Silom 3 apartment no.7 (BTS Saladaeng station),Veena,Bang Rak,13.72487,100.53192,Entire home/apt,868,1,2,0
Perfect view Donmenug,Phatcharin,Don Mueang,13.93814,100.59523,Private room,890,1,1,180
"Luxury,City View,Wifi,Pool,Gym,BTS,Pier",Sure,Sathon,13.71644,100.51551,Entire home/apt,1888,30,1,326
"Check in by code anytime, non smoker, fast WiFi",Kannicha,Bang Na,13.68181,100.61672,Private room,346,3,7,348
Townhouse/nonsmoker Modern/Silent! Fast Wi-Fi. A/C,Kannicha,Bang Na,13.68299,100.61753,Private room,470,3,7,355
"Brand new prestiege room, free wifi,",Ruk,Vadhana,13.73768,100.57079,Private room,1500,2,1,365
Romantic nest for 2 (or 3) on Bangkok waterway,Suchonm,Wang Thong Lang,13.76373,100.618,Entire home/apt,650,5,1,326
2 Bedroom / Fully furnished/ BTS,Sujittra,Khlong Toei,13.71605,100.58747,Private room,2700,1,1,89
Triple COMFY! #8 (BTS Saphankhwai),K,Phaya Thai,13.79071,100.54907,Hotel room,1290,1,89,356
Triple COMFY! #9 (BTS Saphankhwai),K,Phaya Thai,13.78975,100.54798,Hotel room,1290,1,89,364
Triple COMFY! #10 (BTS Saphankhwai),K,Phaya Thai,13.78878,100.54792,Hotel room,1290,1,89,364
International students house,可亮,Din Daeng,13.76014,100.55298,Entire home/apt,2250,1,2,180
"Riverview , Fitness, Best view room",Napat,Bang Kho laen,13.69381,100.49453,Private room,3500,2,1,180
The Little Room @ Khaosan,Note,Phra Nakhon,13.76003,100.50075,Entire home/apt,2500,2,1,344
20% Discount Cozy Convenient to #WorkfromHome WiFi,Alex,Vadhana,13.71625,100.59419,Entire home/apt,1299,28,36,272
time2relaxhostel&massage,Time 2 Relax,Vadhana,13.73401,100.58337,Shared room,590,1,1,365
曼谷地铁汇狂站出口5分钟 曼谷最大火车汇狂夜市 代购按摩街 暹罗剧场 建兴酒家 华人必住民宿5,Taosiam,Huai Khwang,13.77975,100.57872,Private room,680,1,34,102
1 BD & Beautiful views of the city.,Koeiy,Chatu Chak,13.81683,100.56675,Private room,2700,1,1,89
"C Style Condo, Big Corner Room, Huaykwang Subway",Ampa,Huai Khwang,13.78438,100.58424,Private room,1229,1,1,177
Cozy room / Comfortable travel,Sukanya,Chatu Chak,13.83859,100.57536,Private room,1350,2,1,89
Cozy Living in Bangkok,Amonrat,Bang Khen,13.86499,100.61471,Private room,1350,2,1,89
Cheap Rooms available at Roong-Arun Apartment,Silv,Sai Mai,13.8914,100.61498,Private room,490,1,1,364
เดอะ วีว่า คอนโด เพชรเกษม 68,Choonam,Bang Khae,13.71151,100.41745,Private room,8652,365,1,365
New room and pool view,Ratchata,Chatu Chak,13.83624,100.58564,Private room,1350,2,1,89
101 Comfy Stay near Grand Palace and MRT SamYod,Peerapon,Phra Nakhon,13.75168,100.49775,Private room,1500,1,8,310
Condo Asoke Sukhumwit 27 - 50% Off Long Stay,Kusuma,Vadhana,13.73651,100.56377,Entire home/apt,1675,25,1,143
Budget2beds near DMKที่พักใกล้ศูนย์ราชการแจ้งวัฒนะ,Chatnakorn,Lak Si,13.87255573272705,100.57288360595705,Private room,900,1,4,365
Cozy soi Silom 3 condo. #8 (BTS Saladaeng&MRT),K,Bang Rak,13.72551,100.53004,Entire home/apt,1874,16,89,357
Cozy soi Silom 3 condo.#9 (BTS Saladaeng and MRT),K,Bang Rak,13.72534,100.52997,Entire home/apt,1843,16,89,330
Cozy soi Silom 3 condo. #10 (BTS Saladaeng&MRT),K,Bang Rak,13.72499,100.53166,Entire home/apt,1874,16,89,344
"Traveler superior studio, 5min to skytrain",Jared,Bang Na,13.6796,100.61439,Entire home/apt,610,14,6,63
Bangkok near Subway - Clean&New - City Center :),Pavida,Huai Khwang,13.75366,100.56525,Entire home/apt,750,30,1,299
One bedroom available in large Thai family home,Jeth And Krit,Phasi Charoen,13.74113,100.45668,Private room,521,2,1,0
็็Haus 23,Sahapol,Chatu Chak,13.80584,100.57482,Private room,600,30,1,90
"Travel hub studio 2, 5min to skytrain",Jared,Bang Na,13.68113,100.61237,Entire home/apt,540,18,6,166
Clean and quiet room near BTS Prompong,Nou,Khlong Toei,13.73265,100.56581,Private room,1200,1,3,89
Private Condo with City view next by BTS to City,Amp,Thon buri,13.7213,100.49263,Private room,1800,30,1,365
"Nice 1BR Apt, Riverside and close to ""Asiatique""",Vincent,Bang Kho laen,13.68751,100.51968,Entire home/apt,799,7,5,349
New private one-bedroom suite near BTS Phyathai,Tip,Ratchathewi,13.75883,100.5287,Private room,1200,3,4,137
"Stay safe ,whole  second fl of cozy house,100 sqm.",Vichak,Huai Khwang,13.76921,100.58103,Private room,7335,1,25,182
Twins beds strong wifi WC shower inside calm area,Surapong,Bang Khen,13.85006,100.64535,Private room,50000,1,3,89
环境幽雅，离机场距离10公里路程，出入方便,艳红,Pra Wet,13.67516,100.69308,Private room,1500,1,1,365
Just 10 minutes away from The Mall Bangkapi,Laksika,Wang Thong Lang,13.78709,100.62838,Private room,2690,1,1,89
Boutique Hostel near Khaosarn Road + Monument View,Kiattisak,Phra Nakhon,13.756024,100.501823,Shared room,799,1,53,365
S&S Residential Sukhumwit 101/1,Somsak,Bang Na,13.68313,100.61439,Private room,1500,2,1,90
曼谷地铁汇狂站1号出口5分钟 曼谷最大火车夜市 代购按摩街 汇狂夜市 建兴酒家 华人必住民宿2,Taosiam,Huai Khwang,13.78066,100.57675,Private room,886,1,34,127
Bright and Clean 1BR near DMK Airport,Natthapol,Bang Khen,13.86265,100.61534,Entire home/apt,650,28,4,140
rooms in the city center/near mrt,Wachirakiad,Huai Khwang,13.79467,100.58768,Private room,1350,1,1,89
Private Room @Sukhumvit101/1 BKK,Van,Phra Khanong,13.6899,100.63585,Entire home/apt,2500,1,1,90
2BD/Kitchen/Fully-furnished,Tanit,Bueng Kum,13.79334,100.65226,Private room,2680,1,1,89
"LIKE HOME , Best location,  Clean , Safe",Veerachai,Bang Rak,13.72968,100.5184,Shared room,440,1,7,185
Condo-Ladprao junction & Subway,Weerayut,Chatu Chak,13.80978,100.56666,Entire home/apt,6926,1,1,180
บุรีธารารีสอร์ทคอนโดอ่อนนุช,สิริพร,Pra Wet,13.7206,100.66351,Private room,1000,1,1,365
Family Room With Shared Bathroom For 8 People,Phak,Bang Rak,13.73046,100.51868,Private room,1950,1,4,343
Family Room With Shared Bathroom (No Window),Phak,Bang Rak,13.72829,100.5191,Private room,1200,1,4,357
Family Room(4 Beds) with Private External Bathroom,Phak,Bang Rak,13.72977,100.51889,Private room,1080,1,4,57
Naris's home with a view,Naris,Rat Burana,13.68389,100.50101,Private room,2000,15,1,365
One bedroom apartment near Wutthakat BTS,Sudawan,Phasi Charoen,13.71455,100.46329,Private room,600,3,1,0
LIKE HOME  CLEAN SAFE & CONVENIENT,Veerachai,Bang Rak,13.72968,100.5184,Private room,856,1,7,176
Spacious Modern Loft Style Room on Sukhumvit Road,Chomchaey,Khlong Toei,13.71743,100.58759,Private room,1890,30,1,90
Baan Suan Prannok Residence,Salisa,Bangkok Noi,13.75522,100.47733,Private room,1200,3,2,161
Modern Residence @MRT Interchange Station!,Jay,Bang Sue,13.80565,100.52942,Entire home/apt,750,30,2,141
Modern 1BR near subway and famous night market,Nini,Huai Khwang,13.76618,100.57781,Entire home/apt,1285,1,1,170
"Fully furnished, City View, Pool, Gym, WiFi",De Botan,Pra Wet,13.69702,100.64636,Hotel room,650,1,5,0
Folktel39..the story of Bangkok,Guitar,Bang Rak,13.72927,100.51783,Shared room,831,1,1,180
1 bedroom  1 living room 1 kitchen 1 bathroom,August,Bang Khen,13.86105,100.5878,Private room,1000,5,1,179
PRIVATE HIGHFLOOR Studio @ BTS Onnut,Kullakan,Vadhana,13.71388,100.59973,Entire home/apt,1100,3,1,174
"Peaceful city view,1bedroom and canal  view",Mild,Din Daeng,13.7903,100.57001,Private room,800,3,1,175
Twin bedroom in Chatuchak,Rattana,Chatu Chak,13.81587,100.57587,Private room,370,2,3,334
Penthouse house for rent at Wind Sukhumvit23,Rujiret,Vadhana,13.73979,100.56564,Private room,10000,30,3,90
Condo for rent at Polo Park,Rujiret,Parthum Wan,13.73544,100.55005,Private room,3000,30,3,91
Big room and Swimming pool,Arrice,Huai Khwang,13.76133,100.56849,Private room,2690,1,1,89
公寓 Cozy 1BD&Kitchen @Silom Soi 3 (BTS Saladaeng)#1,Bo,Bang Rak,13.72696,100.53191,Entire home/apt,3189,14,10,323
"Luxury 2Bed 2bath condo, Wi-Fi, Pool, Gym, BTS!",Johnny,Vadhana,13.710398,100.601227,Entire home/apt,1900,14,1,287
House for large group in Bangkok (entire house),Mon,Lat Krabang,13.72337,100.801,Entire home/apt,1490,1,1,364
Centric Scene Condo (Phahoyothi. 9),Witvala,Phaya Thai,13.78495,100.54598,Private room,2250,2,1,365
450 m. from BTS Asoke,Jitnapa,Vadhana,13.73552,100.56538,Private room,2700,1,1,89
Thonglor high-ceiling 1-bed in luxury condominium,Num,Huai Khwang,13.7446,100.58788,Entire home/apt,900,13,1,59
Cruising Room by 6days7nightsbkk@BTS Ratchathewi,Jah And Bros,Ratchathewi,13.75104,100.52965,Private room,1113,1,6,91
2Bedrooms Suites 20steps to Terminal 21 & Asok BTS,LuxurySuitesAsia,Khlong Toei,13.73754,100.559,Entire home/apt,6877,1,14,335
Studio de standing proche BTS et shopping malls,Pidam,Vadhana,13.71601,100.59044,Entire home/apt,995,30,1,311
One Bedroom/Studio Room@BTS Aree,Jiraporn,Phaya Thai,13.77758,100.54906,Private room,1750,1,8,365
Nice Room in Bangchak@The Room 64,Tuthu,Phra Khanong,13.68715,100.60548,Private room,800,2,1,0
Spacious oasis apartment@Silom #1(BTS Saladaeng),K,Bang Rak,13.72345,100.52418,Entire home/apt,3888,1,89,175
The Fine at River by KEN,Sunpetch (Ken),Khlong San,13.71742,100.50772,Private room,1400,5,1,358
Family Room Condo2 NR Shopping@Platinum + FreeWifi,David,Ratchathewi,13.75469,100.53871,Private room,1657,1,6,358
1 BR close to MRT/WIFI/Pool/Gym+Airport pick up,Fai,Huai Khwang,13.79883,100.57543,Entire home/apt,1351,50,5,365
"Travel boutique studio, 5min to skytrain",Jared,Bang Na,13.67955,100.61407,Entire home/apt,600,14,6,57
"Nice 3BR Apt, River Front view, near ""Asiatique""",Vincent,Bang Kho laen,13.68642,100.51901,Entire home/apt,3250,7,5,241
Low Price溫馨兩房( 1分鐘到捷運 /購物中心/高層樓/機場接送服務/安排旅遊行程),Yoco,Phra Khanong,13.70427,100.60238,Entire home/apt,4500,30,1,365
Standard Room – 24 SQM,Yair,Suanluang,13.70859,100.61537,Private room,872,1,5,356
welcome to thailand @lamood,Pakdee,Suanluang,13.73427,100.6428,Private room,750,1,3,364
Spacious oasis apartment@Silom #2(BTS Saladaeng),K,Bang Rak,13.72701,100.53194,Entire home/apt,3555,1,89,175
Large Studio – 32 SQM,Yair,Suanluang,13.70867,100.6154,Private room,999,1,5,345
One Bedroom – 48 SQM Apartment,Yair,Suanluang,13.70691,100.61675,Private room,1800,1,5,364
